make,model,year,overall_rating,frontal_crash,side_crash,rollover,safety_concern,model,1,2,3,,,,
Audi,Q3 SUV AWD,2019,4.3,4,5,4,FALSE,Q3,SUV,AWD,,,,,
Audi,Q5 SUV AWD,2019,4.7,5,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,Q7 SUV AWD,2019,4.3,4,5,4,FALSE,Q7,SUV,AWD,,,,,
Audi,Q8 SUV AWD,2019,4.7,5,5,4,FALSE,Q8,SUV,AWD,,,,,
Audi,A3 4 DR FWD,2019,4.3,4,5,4,FALSE,A3,4,DR,FWD,,,,
Audi,A3 4 DR AWD,2019,4.3,4,5,4,FALSE,A3,4,DR,AWD,,,,
Audi,S3 4 DR AWD,2019,4.3,4,5,4,FALSE,S3,4,DR,AWD,,,,
Audi,A4 4 DR AWD,2021,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A5 Sportback 4 DR AWD,2021,4.7,4,5,5,FALSE,A5,Sportback,4,DR,AWD,,,
Audi,A6 allroad SW AWD,2021,4.7,4,5,5,FALSE,A6,allroad,SW,AWD,,,,
Audi,A6 4 DR AWD,2021,4.7,4,5,5,FALSE,A6,4,DR,AWD,,,,
Audi,e-tron SUV AWD,2021,4.7,4,5,5,FALSE,e-tron,SUV,AWD,,,,,
Audi,e-tron Sportback SUV AWD,2021,4.7,4,5,5,FALSE,e-tron,Sportback,SUV,AWD,,,,
Audi,Q3 SUV AWD,2021,4.3,4,5,4,FALSE,Q3,SUV,AWD,,,,,
Audi,Q8 SUV AWD,2021,4.7,5,5,4,FALSE,Q8,SUV,AWD,,,,,
Audi,Q5 SUV AWD,2021,4.7,5,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,A6 (With Rear Seat SABs) 4 DR AWD,2020,4.7,4,5,5,FALSE,A6,(With,Rear,Seat,SABs),4,DR,AWD
Audi,A6 (With Rear Seat SABs) 4 DR FWD,2020,4.7,4,5,5,FALSE,A6,(With,Rear,Seat,SABs),4,DR,FWD
Audi,A6 (With Rear Seat SABs) 4 DR AWD,2021,4.7,4,5,5,FALSE,A6,(With,Rear,Seat,SABs),4,DR,AWD
Audi,Q5 Sportback SUV AWD,2021,4.7,5,5,4,FALSE,Q5,Sportback,SUV,AWD,,,,
Audi,Audi A4 4 DR AWD,2022,4.7,4,5,5,FALSE,Audi,A4,4,DR,AWD,,,
Audi,Audi A5 Sportback 4 DR AWD,2022,4.7,4,5,5,FALSE,Audi,A5,Sportback,4,DR,AWD,,
Audi,Audi A6 4 DR AWD,2022,4.7,4,5,5,FALSE,Audi,A6,4,DR,AWD,,,
Audi,Audi e-tron SUV AWD,2022,4.7,4,5,5,FALSE,Audi,e-tron,SUV,AWD,,,,
Audi,Audi e-tron Sportback SUV AWD,2022,4.7,4,5,5,FALSE,Audi,e-tron,Sportback,SUV,AWD,,,
Audi,Audi Q4 Sportback e-tron SUV AWD,2022,4.3,4,5,4,FALSE,Audi,Q4,Sportback,e-tron,SUV,AWD,,
Audi,Audi Q4 e-tron SUV AWD,2022,4.3,4,5,4,FALSE,Audi,Q4,e-tron,SUV,AWD,,,
Audi,Audi A6 allroad SW AWD,2023,4.7,4,5,5,FALSE,Audi,A6,allroad,SW,AWD,,,
Audi,Audi A6 Sedan 4 DR AWD,2023,4.7,4,5,5,FALSE,Audi,A6,Sedan,4,DR,AWD,,
Audi,Audi e-tron SUV AWD,2023,4.7,4,5,5,FALSE,Audi,e-tron,SUV,AWD,,,,
Audi,Audi e-tron Sportback SUV AWD,2023,4.7,4,5,5,FALSE,Audi,e-tron,Sportback,SUV,AWD,,,
Audi,Audi Q4 e-tron SUV AWD,2023,4.3,4,5,4,FALSE,Audi,Q4,e-tron,SUV,AWD,,,
Audi,Audi Q5 Sportback SUV AWD,2023,4.7,5,5,4,FALSE,Audi,Q5,Sportback,SUV,AWD,,,
Audi,Audi Q4 Sportback e-tron SUV AWD,2023,4.3,4,5,4,FALSE,Audi,Q4,Sportback,e-tron,SUV,AWD,,
Audi,Audi A5 Sportback 4 DR AWD,2023,4.7,4,5,5,FALSE,Audi,A5,Sportback,4,DR,AWD,,
Audi,Audi A6 allroad SW AWD,2022,4.7,4,5,5,FALSE,Audi,A6,allroad,SW,AWD,,,
Audi,Audi A4 4 DR AWD,2023,4.7,4,5,5,FALSE,Audi,A4,4,DR,AWD,,,
Audi,Audi Q3 SUV AWD,2023,4.3,4,5,4,FALSE,Audi,Q3,SUV,AWD,,,,
Audi,Audi Q5 SUV AWD,2023,4.7,5,5,4,FALSE,Audi,Q5,SUV,AWD,,,,
Audi,Audi Q7 SUV AWD,2023,4.3,4,5,4,FALSE,Audi,Q7,SUV,AWD,,,,
Audi,Audi Q8 SUV AWD,2023,4.7,5,5,4,FALSE,Audi,Q8,SUV,AWD,,,,
Audi,Audi Q3 SUV AWD,2022,4.3,4,5,4,FALSE,Audi,Q3,SUV,AWD,,,,
Audi,Audi Q5 SUV AWD,2022,4.7,5,5,4,FALSE,Audi,Q5,SUV,AWD,,,,
Audi,Audi Q5 Sportback SUV AWD,2022,4.7,5,5,4,FALSE,Audi,Q5,Sportback,SUV,AWD,,,
Audi,A4 4 DR AWD,2024,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,A5 Sportback 4 DR AWD,2024,4.7,4,5,5,FALSE,A5,Sportback,4,DR,AWD,,,
Audi,A6 allroad SW AWD,2024,4.7,4,5,5,FALSE,A6,allroad,SW,AWD,,,,
Audi,A6 Sedan 4 DR AWD,2024,4.7,4,5,5,FALSE,A6,Sedan,4,DR,AWD,,,
Audi,Q3 SUV AWD,2024,4.3,4,5,4,FALSE,Q3,SUV,AWD,,,,,
Audi,Q4 e-tron SUV AWD,2024,4.3,4,5,4,FALSE,Q4,e-tron,SUV,AWD,,,,
Audi,Q4 Sportback e-tron SUV AWD,2024,4.3,4,5,4,FALSE,Q4,Sportback,e-tron,SUV,AWD,,,
Audi,Q5 SUV AWD,2024,4.7,5,5,4,FALSE,Q5,SUV,AWD,,,,,
Audi,Q5 Sportback SUV AWD,2024,4.7,5,5,4,FALSE,Q5,Sportback,SUV,AWD,,,,
Audi,Q7 SUV AWD,2024,4.3,4,5,4,FALSE,Q7,SUV,AWD,,,,,
Audi,Q8 SUV AWD,2024,4.7,5,5,4,FALSE,Q8,SUV,AWD,,,,,
Audi,Q8 e-tron SUV AWD,2024,4.7,4,5,5,FALSE,Q8,e-tron,SUV,AWD,,,,
Audi,Q8 Sportback e-tron SUV AWD,2024,4.7,4,5,5,FALSE,Q8,Sportback,e-tron,SUV,AWD,,,
Audi,A4 4 DR FWD,2011,4.7,4,5,5,FALSE,A4,4,DR,FWD,,,,
Audi,A4 Avant SW AWD,2011,4.7,4,5,5,FALSE,A4,Avant,SW,AWD,,,,
Audi,S4 Avant SW AWD,2011,4.7,4,5,5,FALSE,S4,Avant,SW,AWD,,,,
Audi,A4 4 DR AWD,2011,4.7,4,5,5,FALSE,A4,4,DR,AWD,,,,
Audi,S4 4 DR AWD,2011,4.7,4,5,5,FALSE,S4,4,DR,AWD,,,,
Audi,A4 4 DR FWD,2012,4.7,4,5,5,FALSE,A4,4,DR,FWD,,,,
